118.184.169.32,5.138.222.70,80.0,tcp
118.184.176.90,3.228.171.212,53.0,udp
118.184.169.32,5.152.40.237,80.0,tcp
118.184.169.32,5.166.202.63,80.0,tcp
118.184.169.32,5.212.84.156,80.0,tcp
118.184.169.32,5.31.238.63,80.0,tcp
118.184.176.90,3.228.171.192,53.0,udp
118.184.169.32,5.157.124.247,80.0,tcp
118.184.169.32,5.139.217.134,80.0,tcp
118.184.169.32,5.142.47.112,80.0,tcp
118.184.169.32,5.172.82.99,80.0,tcp
118.184.169.32,5.115.229.76,80.0,tcp
118.184.169.32,5.138.222.70,80.0,tcp
118.184.169.32,5.119.184.30,80.0,tcp
118.184.169.32,5.126.201.64,80.0,tcp
118.184.169.32,5.126.234.99,80.0,tcp
118.184.169.32,5.139.226.20,80.0,tcp
118.184.169.32,5.37.108.136,80.0,tcp
118.184.169.32,5.181.192.238,80.0,tcp
118.184.169.32,5.8.112.205,80.0,tcp
118.184.169.32,5.180.168.199,80.0,tcp
118.184.169.32,5.107.14.22,80.0,tcp
118.184.169.32,5.88.163.243,80.0,tcp
118.184.169.32,5.124.53.131,80.0,tcp
118.184.169.32,5.63.104.204,80.0,tcp
118.184.169.32,5.123.155.135,80.0,tcp
118.184.169.32,5.173.29.51,80.0,tcp
118.184.169.32,5.27.16.146,80.0,tcp
118.184.169.32,5.24.15.102,80.0,tcp
118.184.169.32,5.166.47.152,80.0,tcp
118.184.169.32,5.115.20.215,80.0,tcp
118.184.169.32,5.120.8.221,80.0,tcp
118.184.169.32,5.183.146.113,80.0,tcp
118.184.169.32,5.145.167.69,80.0,tcp
118.184.169.32,5.215.251.243,80.0,tcp
118.184.169.32,5.133.77.63,80.0,tcp
118.184.169.32,5.139.232.30,80.0,tcp
118.184.169.32,5.25.144.130,80.0,tcp
118.184.169.32,5.61.5.168,80.0,tcp
118.184.169.32,5.25.162.157,80.0,tcp
118.184.169.32,5.124.55.18,80.0,tcp
118.184.169.32,5.200.123.215,80.0,tcp
118.184.169.32,5.127.172.16,80.0,tcp
118.184.169.32,5.190.134.27,80.0,tcp
118.184.169.32,5.31.238.63,80.0,tcp
118.184.169.32,5.31.238.63,80.0,tcp
118.184.169.32,5.166.202.63,80.0,tcp
118.184.169.32,5.166.204.39,80.0,tcp
118.184.169.32,5.27.18.171,80.0,tcp
118.184.169.32,5.172.82.99,80.0,tcp
118.184.169.32,5.112.152.67,80.0,tcp
118.184.169.32,5.187.76.28,80.0,tcp
118.184.169.32,5.212.84.156,80.0,tcp
118.184.169.32,5.181.192.238,80.0,tcp
118.184.169.32,5.181.192.238,80.0,tcp
118.184.169.32,5.152.40.237,80.0,tcp
118.184.169.32,5.124.217.137,80.0,tcp
118.184.176.79,3.248.180.197,53.0,udp
118.184.169.32,5.26.145.195,80.0,tcp
118.184.169.32,5.173.29.51,80.0,tcp
118.184.169.32,5.173.29.51,80.0,tcp
118.184.176.79,3.248.180.213,53.0,udp
118.184.169.32,5.115.229.76,80.0,tcp
118.184.169.32,5.166.47.152,80.0,tcp
118.184.169.32,3.89.170.186,80.0,tcp
118.184.169.32,5.229.12.245,80.0,tcp
118.184.169.32,5.133.77.63,80.0,tcp
118.184.169.32,5.145.167.69,80.0,tcp
118.184.169.32,5.124.198.74,80.0,tcp
118.184.169.32,5.123.155.135,80.0,tcp
118.184.169.32,5.123.155.135,80.0,tcp
118.184.169.32,5.31.132.178,80.0,tcp
118.184.169.32,5.126.201.64,80.0,tcp
118.184.169.32,5.166.200.36,80.0,tcp
118.184.169.32,5.126.234.99,80.0,tcp
