id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip,port
719504,60.063423,tcp,-,EST,33,0,16820,0,280.0373198843495816080944970,57,0,280.0373198843495816080944970,0,0,0,1.87698196875,0,0,0,3712.7272727272725,0,0,0,0,0,0,509.6969696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,20810
820533,60.048141,tcp,-,EST,23,0,6579,0,109.5620928547979528625207565,85,0,109.5620928547979528625207565,0,0,0,2.729460954545454545454545455,0,0,0,5085.0,0,0,0,0,0,0,286.04347826086956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,51340
425978,60.050825,tcp,-,EST,28,0,13083,0,217.8654498085580006602740262,57,0,217.8654498085580006602740262,0,0,0,2.224104629629629629629629630,0,0,0,6517.107142857143,0,0,0,0,0,0,467.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,21059
805462,60.071815,tcp,-,EST,45,0,18064,0,300.7067457508983206184131443,57,0,300.7067457508983206184131443,0,0,0,1.365268522727272727272727273,0,0,0,5238.355555555556,0,0,0,0,0,0,401.4222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,50426
767656,60.050928,tcp,-,EST,40,0,16613,0,276.6485140745868240370906508,88,0,276.6485140745868240370906508,0,0,0,1.539767384615384615384615385,0,0,0,5811.9,0,0,0,0,0,0,415.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,50281
59747,60.067358,tcp,-,EST,42,0,17882,0,297.6991263707652998488796527,57,0,297.6991263707652998488796527,0,0,0,1.465057512195121951219512195,0,0,0,4218.357142857143,0,0,0,0,0,0,425.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,62073
206974,60.084099,tcp,-,EST,39,0,17113,0,284.8174522846718563592007929,58,0,284.8174522846718563592007929,0,0,0,1.5811605,0,0,0,4895.897435897436,0,0,0,0,0,0,438.79487179487177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.63,39.105.32.31,62301
389811,1.765924,tcp,-,EST,47,0,17924,0,10149.92717693400168976694354,115,0,10149.92717693400168976694354,0,0,0,0.03838965217391304347826086957,0,0,0,12329.27659574468,0,0,0,0,0,0,381.36170212765956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.181,20.42.73.24,12861
796788,1.869671,tcp,-,EST,50,0,16258,0,8695.647523013407171636079289,116,0,8695.647523013407171636079289,0,0,0,0.03815655102040816326530612245,0,0,0,10393.74,0,0,0,0,0,0,325.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.181,20.42.73.24,13629
659599,2.388898,tcp,-,EST,198,0,163159,0,68298.85579041047378330929156,116,0,68298.85579041047378330929156,0,0,0,0.01212638578680203045685279188,0,0,0,7265.69191919192,0,0,0,0,0,0,824.0353535353536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal_0,0,111.205.62.181,20.42.73.24,13895
