id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip, port
1202,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1203,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1204,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1205,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1206,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1207,0,tcp,-,INT,1,0,212,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,212,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1208,0,tcp,-,INT,1,0,212,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,212,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1209,0,tcp,-,INT,1,0,105,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,105,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1210,0,tcp,-,INT,1,0,105,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,105,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1211,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1212,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1213,0,tcp,-,INT,1,0,966,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,966,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1214,0,tcp,-,INT,1,0,966,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,966,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1215,0,tcp,-,INT,1,0,60,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1216,0,tcp,-,INT,1,0,60,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1217,0,tcp,-,INT,1,0,581,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,581,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
