112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,55659,tcp
111.205.62.207,112.90.80.101,59897,tcp
111.205.62.207,112.90.80.101,60061,tcp
111.205.62.207,112.90.80.101,60222,tcp
111.205.62.207,112.90.80.101,60327,tcp
111.205.62.207,112.90.80.101,60457,tcp
111.205.62.207,112.90.80.101,60786,tcp
111.205.62.207,112.90.80.101,60965,tcp
111.205.62.207,112.90.80.101,61026,tcp
111.205.62.207,112.90.80.101,61091,tcp
111.205.62.207,112.90.80.101,31914,tcp
111.205.62.207,112.90.80.101,58509,tcp
111.205.62.207,112.90.80.101,61575,tcp
111.205.62.207,112.90.80.101,61674,tcp
111.205.62.207,112.90.80.101,61760,tcp
111.205.62.207,112.90.80.101,62051,tcp
111.205.62.207,112.90.80.101,62589,tcp
111.205.62.207,112.90.80.101,33901,tcp
111.205.62.207,112.90.80.101,62768,tcp
111.205.62.207,112.90.80.101,6884,tcp
111.205.62.207,112.90.80.101,49723,tcp
111.205.62.207,112.90.80.101,49868,tcp
111.205.62.207,112.90.80.101,7774,tcp
112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,64894,tcp
111.205.62.207,112.90.80.101,65030,tcp
111.205.62.207,112.90.80.101,50990,tcp
111.205.62.207,112.90.80.101,65334,tcp
111.205.62.207,112.90.80.101,4965,tcp
111.205.62.207,112.90.80.101,51555,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,49594,tcp
111.205.62.207,112.90.80.101,50172,tcp
111.205.62.207,112.90.80.101,50340,tcp
111.205.62.207,112.90.80.101,52395,tcp
111.205.62.207,112.90.80.101,50671,tcp
111.205.62.207,112.90.80.101,50882,tcp
111.205.62.207,112.90.80.101,52713,tcp
111.205.62.207,112.90.80.101,53026,tcp
112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,51323,tcp
111.205.62.207,112.90.80.101,51330,tcp
111.205.62.207,112.90.80.101,51426,tcp
111.205.62.207,112.90.80.101,59335,tcp
111.205.62.207,112.90.80.101,59337,tcp
111.205.62.207,112.90.80.101,59338,tcp
111.205.62.207,112.90.80.101,59339,tcp
111.205.62.207,112.90.80.101,59434,tcp
111.205.62.207,112.90.80.101,59438,tcp
111.205.62.207,112.90.80.101,59439,tcp
111.205.62.207,112.90.80.101,59440,tcp
111.205.62.207,112.90.80.101,51589,tcp
111.205.62.207,112.90.80.101,51595,tcp
111.205.62.207,112.90.80.101,51903,tcp
111.205.62.207,112.90.80.101,51909,tcp
111.205.62.207,112.90.80.101,52342,tcp
111.205.62.207,112.90.80.101,52409,tcp
111.205.62.207,112.90.80.101,52414,tcp
111.205.62.207,112.90.80.101,60435,tcp
111.205.62.207,112.90.80.101,52708,tcp
111.205.62.207,112.90.80.101,53579,tcp
111.205.62.207,112.90.80.101,53578,tcp
111.205.62.207,112.90.80.101,52853,tcp
111.205.62.207,112.90.80.101,52859,tcp
111.205.62.207,112.90.80.101,52941,tcp
111.205.62.207,112.90.80.101,53116,tcp
111.205.62.207,112.90.80.101,53486,tcp
111.205.62.207,112.90.80.101,53811,tcp
111.205.62.207,112.90.80.101,22939,tcp
111.205.62.207,112.90.80.101,22942,tcp
111.205.62.207,112.90.80.101,22956,tcp
111.205.62.207,112.90.80.101,22965,tcp
111.205.62.207,112.90.80.101,22964,tcp
111.205.62.207,112.90.80.101,22966,tcp
111.205.62.207,112.90.80.101,54128,tcp
112.90.80.101,111.205.62.207,443,tcp
