61.160.239.10,118.184.178.15,0,UDP,170.25,209,540.5
61.160.239.10,118.184.178.15,0,UDP,170.25,209,540.5
61.160.239.10,118.184.178.15,0,UDP,170.25,209,540.5
61.160.239.10,118.184.178.15,0,UDP,170,209,540.5
121.16.19.26,118.184.169.48,80,TCP,119,119,119
39.173.61.148,118.184.169.48,80,TCP,119,119,119
110.244.247.45,118.184.169.48,80,TCP,99,99,99
124.167.137.231,118.184.169.48,80,TCP,123,123,123
218.8.185.87,118.184.169.48,80,TCP,123,123,123
183.60.8.218,118.184.179.120,30202,TCP,99,99,99
27.200.234.35,118.184.169.48,80,TCP,123,123,123
1.25.121.60,118.184.169.48,80,TCP,193,193,193
106.114.236.102,118.184.169.48,80,TCP,193,193,193
221.1.34.65,118.184.169.48,80,TCP,123,123,123
119.251.151.215,118.184.169.48,80,TCP,119,119,119
144.7.45.15,118.184.169.48,80,TCP,119,119,119
115.58.125.54,118.184.169.48,80,TCP,119,119,119
61.160.239.10,118.184.178.15,0,UDP,170,209,540.5
61.160.239.10,118.184.178.15,0,UDP,170,207.66666666666663,540.5
61.160.239.10,118.184.178.15,0,UDP,169.83333333333334,207.66666666666663,540.5
61.160.239.10,118.184.178.15,0,UDP,169.83333333333334,207.66666666666663,547
61.160.239.10,118.184.178.15,0,UDP,169.83333333333334,207.8571428571429,540.5
61.160.239.10,118.184.178.15,0,UDP,169.71428571428572,207.8571428571429,540.5
61.160.239.10,118.184.178.15,0,UDP,169.71428571428572,207.8571428571429,540.5
118.184.176.3,118.184.176.78,50040,UDP,1275,1275,1483
123.135.185.10,118.184.169.48,80,TCP,193,193,193
172.16.100.2,172.18.11.28,50040,UDP,1275,1275,1483
61.160.239.10,118.184.178.15,0,UDP,173.90322580645162,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,173.90322580645162,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,173.90322580645162,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,173.90322580645162,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,173.90322580645162,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.03125,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.21212121212122,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.2941176470588,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.2941176470588,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.2941176470588,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.2941176470588,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.0857142857143,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.0857142857143,208.30434782608697,544.4
61.160.239.10,118.184.178.15,0,UDP,174.0857142857143,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.0857142857143,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.0857142857143,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.13888888888889,208.70833333333337,484
61.160.239.10,118.184.178.15,0,UDP,174.13888888888889,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.1891891891892,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.1891891891892,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.1891891891892,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.1891891891892,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.42105263157896,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.51282051282053,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.51282051282053,208.70833333333337,544.4
61.160.239.10,118.184.178.15,0,UDP,174.51282051282053,208.70833333333337,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.51282051282053,208.70833333333337,541.8333333333334
117.93.144.173,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,174.51282051282053,203.52777777777777,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.7619047619048,203.8048780487805,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.6279069767442,203.8048780487805,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.6279069767442,203.83333333333337,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.83333333333337,484
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.83333333333337,484
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.83333333333337,484
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.83333333333337,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,484
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
112.250.82.101,118.184.169.48,80,TCP,123,123,123
120.14.202.198,118.184.169.48,80,TCP,111,111,111
182.35.106.240,118.184.169.48,80,TCP,193,193,193
27.200.119.174,118.184.169.48,80,TCP,119,119,119
182.99.86.90,118.184.169.48,80,TCP,123,123,123
111.19.94.58,118.184.169.48,80,TCP,123,123,123
112.102.36.101,118.184.169.48,80,TCP,123,123,123
183.202.115.139,118.184.169.48,80,TCP,119,119,119
121.27.86.72,118.184.169.48,80,TCP,119,119,119
110.229.41.62,118.184.169.48,80,TCP,99,99,99
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
119.248.129.178,118.184.169.48,80,TCP,119,119,119
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.86363636363637,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.95555555555555,203.86046511627907,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.95555555555555,203.70454545454547,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.95555555555555,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.73333333333332,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.7608695652174,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.87234042553192,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,174.91304347826087,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,175.2127659574468,203.9375,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.58585858585857,203.9375,541.8333333333334
223.91.105.99,118.184.169.48,80,TCP,99,99,99
112.9.192.32,118.184.169.48,80,TCP,119,119,119
83.23.210.101,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
223.97.206.64,118.184.169.48,80,TCP,123,123,123
124.114.247.0,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
83.23.210.101,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.80198019801978,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,203.98,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,204.1176470588235,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.66019417475724,204.1176470588235,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.66019417475724,204.21153846153845,541.8333333333334
83.23.210.101,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
223.97.206.64,118.184.169.48,80,TCP,123,123,123
124.114.247.0,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
83.23.210.101,118.184.169.48,80,TCP,111,111,111
61.160.239.10,118.184.178.15,0,UDP,165.71999999999997,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.80198019801978,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,203.9591836734694,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,203.98,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.7647058823529,204.1176470588235,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.66019417475724,204.1176470588235,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.66019417475724,204.21153846153845,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.66019417475724,204.21153846153845,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.61538461538458,204.21153846153845,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.61538461538458,204.21153846153845,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.61538461538458,204.2264150943396,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.61538461538458,204.2264150943396,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.61538461538458,204.2264150943396,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.2264150943396,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.2264150943396,541.8333333333334
120.10.48.75,118.184.169.48,80,TCP,193,193,193
116.252.76.31,118.184.169.48,80,TCP,111,111,111
120.225.234.204,118.184.169.48,80,TCP,99,99,99
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.24074074074073,541.8333333333334
223.150.145.41,118.184.169.48,80,TCP,99,99,99
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.24074074074073,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.24074074074073,541.8333333333334
175.18.158.146,118.184.169.48,80,TCP,193,193,193
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.24074074074073,541.8333333333334
125.126.181.40,118.184.169.48,80,TCP,119,119,119
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.24074074074073,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.51428571428568,204.25454545454545,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.4150943396226,204.25454545454545,541.8333333333334
27.187.190.22,118.184.169.48,80,TCP,123,123,123
61.160.239.10,118.184.178.15,0,UDP,165.4150943396226,204.25454545454545,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.4150943396226,204.25454545454545,564
61.160.239.10,118.184.178.15,0,UDP,165.44859813084108,204.25454545454545,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.44859813084108,204.2678571428571,541.8333333333334
221.192.179.36,118.184.169.48,80,TCP,111,111,111
42.230.52.91,118.184.169.48,80,TCP,99,99,99
61.160.239.10,118.184.178.15,0,UDP,165.44859813084108,204.2678571428571,564
61.160.239.10,118.184.178.15,0,UDP,165.44859813084108,204.35087719298247,564
61.160.239.10,118.184.178.15,0,UDP,165.35185185185182,204.35087719298247,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.27522935779814,204.35087719298247,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.27522935779814,204.35087719298247,564
61.160.239.10,118.184.178.15,0,UDP,165.27522935779814,204.36206896551724,564
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.36206896551724,541.8333333333334
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.36206896551724,564
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.3728813559322,564
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.08333333333337,564
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.08333333333337,564
61.160.239.10,118.184.178.15,0,UDP,165.18181818181816,204.08333333333337,660
61.160.239.10,118.184.178.15,0,UDP,165.1171171171171,204.08333333333337,660
61.160.239.10,118.184.178.15,0,UDP,165.0803571428571,204.08333333333337,660
