157.32.37.161,118.184.169.32,8963,TCP
1.189.122.10,118.184.169.48,20334,TCP
42.56.149.141,118.184.169.48,47078,TCP
27.205.255.102,118.184.169.48,33501,TCP
123.135.57.59,118.184.169.48,48882,TCP
123.15.253.132,118.184.169.48,58341,TCP
27.188.180.167,118.184.169.48,19034,TCP
61.160.239.10,118.184.178.15,,UDP
114.238.38.223,118.184.169.48,5943,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
182.32.143.2,118.184.169.48,12066,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
39.81.135.22,118.184.169.48,62445,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
182.109.176.95,118.184.169.48,43326,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
39.148.43.45,118.184.169.48,22366,TCP
61.160.239.10,118.184.178.15,,UDP
119.176.240.100,118.184.169.48,26197,TCP
219.156.250.101,118.184.169.48,3353,TCP
118.254.212.211,118.184.169.48,23893,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
110.243.178.215,118.184.169.48,58090,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
125.47.136.140,118.184.169.48,38803,TCP
106.9.153.78,118.184.169.48,1366,TCP
179.108.95.68,118.184.169.48,4497,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
183.197.81.127,118.184.169.48,14338,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
121.16.19.26,118.184.169.48,12390,TCP
39.173.61.148,118.184.169.48,23559,TCP
110.244.247.45,118.184.169.48,22350,TCP
124.167.137.231,118.184.169.48,2106,TCP
218.8.185.87,118.184.169.48,4191,TCP
183.60.8.218,118.184.179.120,80,TCP
27.200.234.35,118.184.169.48,31615,TCP
1.25.121.60,118.184.169.48,1452,TCP
106.114.236.102,118.184.169.48,1093,TCP
221.1.34.65,118.184.169.48,40057,TCP
119.251.151.215,118.184.169.48,11873,TCP
144.7.45.15,118.184.169.48,21311,TCP
115.58.125.54,118.184.169.48,36546,TCP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
61.160.239.10,118.184.178.15,,UDP
