City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
江苏省-常州市,7.570330631442847,88.2967882341765,274007220
江苏省-淮安市,2.3391914018614974,0.0578940984626323,179660
江苏省-盐城市,2.7388792256708596,0.19174721334300748,595040
江苏省-徐州市,2.3596606856065763,0.24369915898558558,756260
江苏省-连云港市,2.4198108959034736,0.06841854049641595,212320
江苏省-宿迁市,2.4643623316718193,0.05137190903324525,159420
江苏省-泰州市,2.256908989558354,0.01415933811893612,43940
江苏省-南京市,2.9877110700184035,0.041891532896260714,130000
江苏省-苏州市,2.7897170014624826,0.030155458834092902,93580
江苏省-无锡市,3.1421616605020173,0.03949404824435163,122560
江苏省-南通市,2.4528385678644478,0.016827506521867187,52220
江苏省-镇江市,1.811278124459133,0.0066188621976091926,20540
江苏省-扬州市,2.5492553971685,0.013134606775781436,40760
江苏省-常州市,7.52777171572589,88.58934563584035,294116220
江苏省-徐州市,2.3566439995981407,0.24520515901919623,814080
江苏省-苏州市,2.5779065701049424,0.020506052508386007,68080
江苏省-连云港市,2.215810459944246,0.07415672925329957,246200
江苏省-南京市,2.775599704144249,0.052614530730976314,174680
江苏省-淮安市,2.4252607520246885,0.04607837709654658,152980
江苏省-泰州市,2.3598063039211006,0.015656648198970398,51980
江苏省-宿迁市,2.12290745432705,0.045819340593062266,152120
江苏省-扬州市,2.063558608511122,0.015180743925127126,50400
江苏省-盐城市,2.7829938995848034,0.15993998063973222,531000
江苏省-南通市,2.5083614955614473,0.02221087414759671,73740
江苏省-无锡市,2.0992054464923324,0.02002412412981054,66480
江苏省-镇江市,2,0.0031686790891336776,10520
江苏省-常州市,7.529405755133805,88.03340876898781,266029320
江苏省-无锡市,2.24930911738953,0.025791607780130812,77940
江苏省-盐城市,2.7064539844576845,0.1327040101615096,401020
江苏省-连云港市,2.3487008328488455,0.0748532419792865,226200
江苏省-徐州市,2.25438892868297,0.2138049497914103,646100
江苏省-淮安市,2.3335807298356204,0.0554019883827239,167420
江苏省-宿迁市,2.5000453826131546,0.0420925392562566,127200
江苏省-苏州市,2.4650694618158373,0.018637199771323675,56320
江苏省-南京市,2.7583103755065466,0.04032544680634771,121860
江苏省-泰州市,2.6116415886206177,0.021125689513517464,63840
江苏省-南通市,2.5752090212947967,0.028895601634090617,87320
江苏省-扬州市,2.365596230357602,0.0130910444416471,39560
江苏省-镇江市,1.792481250360578,0.005248330759467215,15860
江苏省-常州市,7.498591335665987,89.74268952786423,287619020
江苏省-徐州市,1.9800293663462372,0.19824459181602044,635360
江苏省-连云港市,2.0888578725208005,0.06199199745342316,198680
江苏省-无锡市,2.440410816203254,0.032874355001473045,105360
江苏省-苏州市,2.2389205950315936,0.013947263369075978,44700
江苏省-南京市,2.4845699115651434,0.025448295310555633,81560
江苏省-淮安市,2.1104627346827254,0.03379793217311655,108320
江苏省-盐城市,2.5601352183603354,0.1450889813561595,465000
江苏省-宿迁市,1.9469774968583453,0.032643460708562166,104620
江苏省-南通市,2.353411192621123,0.02401300646273126,76960
江苏省-扬州市,2.2295739585136225,0.010608656701310587,34000
江苏省-泰州市,2.355388542207534,0.009884771891103513,31680
江苏省-镇江市,1.4591479170272448,0.004667808948576658,14960
江苏省-常州市,7.453185425738032,89.39937757544385,273289320
江苏省-南京市,2.7987792622221987,0.035054561594227554,107160
江苏省-徐州市,1.915220396321136,0.20082770113781429,613920
江苏省-盐城市,2.3271182633413123,0.14176881209132453,433380
江苏省-淮安市,2.1660606200874306,0.05559137922100625,169940
江苏省-连云港市,2.248548146472668,0.06550976581616283,200260
江苏省-南通市,2.5126624630322776,0.02089011108069589,63860
江苏省-无锡市,2.4262262379033688,0.04069417191416487,124400
江苏省-宿迁市,2.2469552489760822,0.03227401126247191,98660
江苏省-扬州市,2.925853014561283,0.01735717654152402,53060
江苏省-镇江市,1.9219280948873623,0.004756376685144351,14540
江苏省-泰州市,2.1266144718101816,0.013470948548434962,41180
江苏省-苏州市,3.007196489685617,0.021688292587693978,66300
江苏省-常州市,7.607129211371357,90.45780455862793,296841700
江苏省-盐城市,2.6975679952282983,0.15999152595262334,525020
江苏省-徐州市,2.0377536696870027,0.183126942984971,600940
江苏省-连云港市,1.891580965755416,0.04656337885330244,152800
江苏省-宿迁市,1.6585526997918874,0.03556857054815092,116720
江苏省-淮安市,2.0214066472509735,0.046898586423581454,153900
江苏省-南京市,3.0689572388064956,0.02835856044560422,93060
江苏省-泰州市,1.95006375643621,0.011110607283975176,36460
江苏省-苏州市,2.5521796970665487,0.019350618829742833,63500
江苏省-无锡市,2.57249035440471,0.02865719991730734,94040
江苏省-扬州市,2.345719283930527,0.016010732493144702,52540
江苏省-南通市,2.522620309531022,0.02380583217290567,78120
江苏省-镇江市,2.321928094887362,0.004412550561490964,14480
江苏省-常州市,7.596281467113009,89.959517351872,286620540
江苏省-南京市,2.8960955439166023,0.039107301458727456,124600
江苏省-连云港市,2.3595968984472098,0.06752443688467596,215140
江苏省-淮安市,1.9251496169845366,0.03917007401323584,124800
江苏省-徐州市,2.156841116873409,0.17178964992311305,547340
江苏省-无锡市,2.7221495555510455,0.026904316862296287,85720
江苏省-盐城市,2.553592619005212,0.14980042407882374,477280
江苏省-宿迁市,2.0688308969982323,0.03632647729400574,115740
江苏省-南通市,2.311789547218889,0.019315115022231842,61540
江苏省-苏州市,2.7685824788135225,0.021399163831910414,68180
江苏省-泰州市,2.1464657985040723,0.013866457290903522,44180
江苏省-扬州市,2.0048861640918427,0.009164792958225053,29200
江苏省-镇江市,1.9056390622295665,0.006854762952316273,21840
江苏省-南京市,3.268432304889683,0.0787748924862569,261360
江苏省-常州市,7.601309406124132,88.73972951542349,294421420
江苏省-泰州市,2.0387027575261962,0.0144010727081166,47780
江苏省-徐州市,2.3554823312377953,0.2172156776744552,720680
江苏省-淮安市,2.454366589929006,0.04742287107356772,157340
江苏省-扬州市,2.7744019192887706,0.018723202943244102,62120
江苏省-南通市,2.670418060034064,0.022327992177004555,74080
江苏省-盐城市,2.6502868237874084,0.13372683003635774,443680
江苏省-苏州市,3.0817680665470055,0.020212137626753855,67060
江苏省-宿迁市,2.222043806636411,0.02706003155577037,89780
江苏省-连云港市,2.4404238544735617,0.0702994181339706,233240
江苏省-无锡市,2.2609768596329824,0.02643311168902942,87700
江苏省-镇江市,0.8112781244591328,0.0033154416029569397,11000
江苏省-连云港市,2.4425238090683314,0.08247109959719173,261220
江苏省-常州市,7.527194612838674,88.59520859391668,280617580
江苏省-宿迁市,2.3145774292311456,0.02463840675509089,78040
江苏省-盐城市,2.685603849596467,0.1350629217046115,427800
江苏省-徐州市,2.367881627531782,0.21724987770775428,688120
江苏省-镇江市,2.7219280948873625,0.010759570761321086,34080
